Date,Deposit rate
3/29/2019,0.77
4/1/2019,0.77
4/2/2019,0.77
4/3/2019,0.77
4/4/2019,0.77
4/5/2019,0.77
4/8/2019,0.77
4/9/2019,0.77
4/10/2019,0.77
4/11/2019,0.77
4/12/2019,0.77
4/15/2019,0.77
4/16/2019,0.77
4/17/2019,0.77
4/18/2019,0.77
4/19/2019,0.77
4/22/2019,0.77
4/23/2019,0.77
4/24/2019,0.77
4/25/2019,0.77
4/26/2019,0.77
4/29/2019,0.77
4/30/2019,0.77
5/1/2019,0.77
5/2/2019,0.77
5/3/2019,0.77
5/6/2019,0.77
5/7/2019,0.77
5/8/2019,0.77
5/9/2019,0.77
5/10/2019,0.77
5/13/2019,0.77
5/14/2019,0.77
5/15/2019,0.77
5/16/2019,0.71
5/17/2019,0.77
5/20/2019,0.77
5/21/2019,0.77
5/22/2019,0.77
5/23/2019,0.77
5/24/2019,0.75
5/27/2019,0.75
5/28/2019,0.75
5/29/2019,0.75
5/30/2019,0.75
5/31/2019,0.75
6/3/2019,0.75
6/4/2019,0.75
6/5/2019,0.75
6/6/2019,0.75
6/7/2019,0.75
6/10/2019,0.75
6/11/2019,0.75
6/12/2019,0.75
6/13/2019,0.75
6/14/2019,0.75
6/17/2019,0.75
6/18/2019,0.75
6/19/2019,0.75
6/20/2019,0.75
6/21/2019,0.75
6/24/2019,0.75
6/25/2019,0.75
6/26/2019,0.71
6/27/2019,0.71
6/28/2019,0.71
7/1/2019,0.7
7/2/2019,0.71
7/3/2019,0.75
7/4/2019,0.75
7/5/2019,0.75
7/8/2019,0.75
7/9/2019,0.75
7/10/2019,0.75
7/11/2019,0.75
7/12/2019,0.75
7/15/2019,0.75
7/16/2019,0.73
7/17/2019,0.75
7/18/2019,0.75
7/19/2019,0.75
7/22/2019,0.75
7/23/2019,0.75
7/24/2019,0.75
7/25/2019,0.75
7/26/2019,0.75
7/29/2019,0.75
7/30/2019,0.75
7/31/2019,0.75
8/1/2019,0.75
